x;y 
6,235505;43,985318
6,359504;44,237261
6,485453;44,48792
6,613317;44,737252
6,74306;44,985209
6,874646;45,231747
7,008039;45,476819
7,143203;45,720379
7,280102;45,962383
7,4187;46,202783
7,558961;46,441535
7,70085;46,678593
7,844329;46,91391
7,989364;47,147441
8,135919;47,379141
8,283957;47,608963
8,433442;47,836861
8,584339;48,062791
8,736612;48,286706
8,890224;48,50856
9,04514;48,728308
9,201324;48,945904
9,358739;49,161302
9,51735;49,374457
9,677122;49,585321
9,838017;49,793851
10;50
10,327121;50,405052
10,658369;50,800515
10,993663;51,186505
11,332922;51,563141
11,676063;51,930538
12,023007;52,288815
12,373671;52,638089
12,727975;52,978477
13,085837;53,310096
13,447176;53,633064
13,81191;53,947498
14,179959;54,253515
14,551241;54,551232
14,925675;54,840767
15,303179;55,122237
15,683672;55,395759
16,067074;55,661451
16,453302;55,91943
16,842276;56,169813
17,233914;56,412717
17,628135;56,648259
18,024858;56,876558
18,424001;57,097729
18,825483;57,311892
19,229224;57,519162
19,63514;57,719656
20,043152;57,913494
20,453179;58,10079
20,865138;58,281664
21,278948;58,456231
21,694529;58,62461
22,111799;58,786918
22,530677;58,943271
22,951081;59,093788
23,37293;59,238585
23,796143;59,37778
24,220639;59,51149
24,646336;59,639832
25,073154;59,762924
25,50101;59,880882
25,929824;59,993825
26,359514;60,101869
26,79;60,205132
27,221199;60,30373
27,653031;60,397782
28,085414;60,487405
28,518267;60,572715
28,951508;60,65383
29,385058;60,730867
29,818833;60,803944
30,252753;60,873178
30,686737;60,938686
31,120704;61,000585
31,554571;61,058993
31,988258;61,114027
32,421684;61,165804
32,854768;61,214442
33,287427;61,260057
33,719581;61,302767
34,151149;61,34269
34,582049;61,379942
35,0122;61,414642
35,44152;61,446905
35,86993;61,47685
36,297346;61,504593
36,723688;61,530252
37,148875;61,553945
37,572825;61,575788
37,995458;61,595899
38,416691;61,614395
38,836444;61,631393
39,254635;61,647011
39,671183;61,661365
40,086007;61,674574
40,499026;61,686755
40,910158;61,698024
41,319321;61,708498
41,726436;61,718297
42,13142;61,727535
42,534192;61,736332
42,934671;61,744803
43,332775;61,753067
43,728424;61,761241
44,121537;61,769441
44,512031;61,777786
44,899825;61,786392
45,284839;61,795376
45,666991;61,804857
46,0462;61,814951
46,422384;61,825776
46,795462;61,837448
47,165354;61,850085
47,531977;61,863805
47,89525;61,878724
48,255093;61,894961
48,611424;61,912631
48,964161;61,931853
49,313224;61,952744
49,65853;61,97542
50;62
50,16929;62,013032
50,337708;62,026534
50,505362;62,040472
50,672358;62,054811
50,838805;62,069515
51,00481;62,084551
51,17048;62,099882
51,335924;62,115475
51,501248;62,131295
51,666561;62,147306
51,831969;62,163474
51,997581;62,179764
52,163503;62,196141
52,329843;62,212571
52,49671;62,229018
52,664209;62,245448
52,83245;62,261826
53,001539;62,278117
53,171584;62,294287
53,342692;62,3103
53,514972;62,326121
53,68853;62,341717
53,863474;62,357051
54,039911;62,372089
54,21795;62,386797
54,397697;62,401139
54,579261;62,415081
54,762749;62,428588
54,948267;62,441625
55,135925;62,454157
55,325828;62,466149
55,518086;62,477567
55,712805;62,488376
55,910093;62,498541
56,110057;62,508026
56,312806;62,516798
56,518446;62,524822
56,727084;62,532062
56,93883;62,538483
57,15379;62,544052
57,372071;62,548733
57,593781;62,552491
57,819028;62,555291
58,04792;62,5571
58,280563;62,557881
58,517065;62,5576
58,757534;62,556222
59,002078;62,553713
59,250803;62,550037
59,503818;62,545159
59,76123;62,539046
60,023146;62,531662
60,289674;62,522972
60,560922;62,512941
60,836997;62,501535
61,118006;62,488719
61,404058;62,474457
61,695259;62,458716
61,991718;62,44146
62,293541;62,422654
62,600836;62,402264
62,913712;62,380255
63,232274;62,356592
63,556632;62,33124
63,886891;62,304164
64,223161;62,27533
64,565548;62,244702
64,91416;62,212246
65,269105;62,177927
65,630489;62,141711
65,998422;62,103562
66,373009;62,063445
66,754359;62,021326
67,142579;61,97717
67,537777;61,930942
67,94006;61,882607
68,349536;61,832131
68,766312;61,779478
69,190496;61,724614
69,622195;61,667504
70,061517;61,608113
70,508569;61,546407
70,96346;61,48235
71,426296;61,415907
71,897185;61,347044
72,376234;61,275727
72,863552;61,201919
73,359245;61,125587
73,863421;61,046695
74,376188;60,965209
74,897653;60,881094
75,427924;60,794315
75,967108;60,704837
76,515313;60,612625
77,072646;60,517645
77,639215;60,419862
78,215127;60,319241
78,800491;60,215747
79,395412;60,109345
80;60
80,614303;59,88769
81,238142;59,772438
81,871275;59,654281
82,513466;59,533253
83,164475;59,409392
83,824062;59,282732
84,49199;59,153309
85,16802;59,02116
85,851912;58,88632
86,543427;58,748826
87,242327;58,608712
87,948373;58,466014
88,661326;58,320769
89,380947;58,173012
90,106997;58,022779
90,839238;57,870107
91,577429;57,715029
92,321334;57,557584
93,070712;57,397805
93,825325;57,23573
94,584934;57,071394
95,3493;56,904833
96,118184;56,736082
96,891347;56,565178
97,668551;56,392155
98,449556;56,217051
99,234124;56,039901
100,022016;55,860741
100,812993;55,679606
101,606815;55,496532
102,403245;55,311556
103,202043;55,124712
104,00297;54,936038
104,805788;54,745567
105,610258;54,553338
106,41614;54,359384
107,223196;54,163743
108,031187;53,96645
108,839874;53,76754
109,649019;53,56705
110,458382;53,365015
111,267724;53,161471
112,076807;52,956454
112,885391;52,75
113,693238;52,542145
114,50011;52,332924
115,305766;52,122373
116,109969;51,910529
116,912478;51,697426
117,713057;51,483101
118,511465;51,267589
119,307463;51,050927
120,100813;50,83315
120,891277;50,614294
121,678614;50,394395
122,462586;50,173488
123,242955;49,95161
124,019481;49,728796
124,791926;49,505082
125,56005;49,280504
126,323615;49,055097
127,082382;48,828899
127,836112;48,601943
128,584566;48,374267
129,327505;48,145905
130,064691;47,916895
130,795884;47,687271
131,520846;47,457069
132,239338;47,226326
132,95112;46,995077
133,655954;46,763358
134,353602;46,531204
135,043823;46,298652
135,72638;46,065737
136,401034;45,832496
137,067545;45,598963
137,725675;45,365175
138,375184;45,131168
139,015835;44,896977
139,647387;44,662639
140,269603;44,428188
140,882243;44,193662
141,485069;43,959095
142,077841;43,724523
142,660321;43,489983
143,232269;43,25551
143,793448;43,021141
144,343617;42,786909
144,882539;42,552853
145,409974;42,319007
145,925683;42,085407
146,429428;41,852089
146,920969;41,619089
147,400069;41,386443
147,866487;41,154187
148,319985;40,922355
148,760324;40,690985
149,187266;40,460112
149,600571;40,229772
150;40
150,756749;39,542252
151,457963;39,086884
152,104566;38,633859
152,697479;38,183141
153,237626;37,734692
153,72593;37,288475
154,163313;36,844453
154,550698;36,402588
154,889009;35,962844
155,179167;35,525182
155,422096;35,089568
155,618719;34,655961
155,769958;34,224327
155,876737;33,794628
155,939977;33,366826
155,960603;32,940884
155,939536;32,516765
155,8777;32,094432
155,776017;31,673848
155,63541;31,254976
155,456803;30,837778
155,241117;30,422218
154,989277;30,008258
154,702203;29,595861
154,380821;29,184989
154,026051;28,775607
153,638818;28,367676
153,220043;27,961159
152,770651;27,556019
152,291562;27,15222
151,783702;26,749723
151,247991;26,348493
150,685354;25,94849
150,096712;25,549679
149,482989;25,152023
148,845108;24,755483
148,183991;24,360024
147,500562;23,965607
146,795742;23,572196
146,070456;23,179753
145,325625;22,788241
144,562173;22,397624
143,781022;22,007864
142,983095;21,618923
142,169316;21,230765
141,340606;20,843352
140,497889;20,456648
139,642088;20,070615
138,774125;19,685216
137,894923;19,300414
137,005405;18,916171
136,106494;18,532451
135,199113;18,149216
134,284185;17,76643
133,362632;17,384054
132,435377;17,002053
131,503343;16,620388
130,567453;16,239022
129,62863;15,857919
128,687796;15,477042
127,745875;15,096352
126,803789;14,715813
125,862461;14,335388
124,922814;13,955039
123,98577;13,57473
123,052253;13,194423
122,123186;12,814081
121,19949;12,433668
120,28209;12,053145
119,371908;11,672475
118,469866;11,291622
117,576888;10,910548
116,693896;10,529217
115,821814;10,14759
114,961563;9,765631
114,114068;9,383303
113,28025;9,000568
112,461033;8,61739
111,657339;8,233731
110,870091;7,849553
110,100212;7,464821
109,348625;7,079496
108,616253;6,693542
107,904018;6,306921
107,212844;5,919597
106,543653;5,531531
105,897368;5,142687
105,274912;4,753028
104,677207;4,362517
104,105177;3,971115
103,559745;3,578788
103,041832;3,185496
102,552363;2,791203
102,09226;2,395872
101,662445;1,999465
101,263841;1,601946
100,897372;1,203277
100,563961;0,803421
100,264529;0,402341
100;0
99,771039;-0,403627
99,577276;-0,808511
99,418086;-1,214612
99,292841;-1,621889
99,200915;-2,030302
99,141682;-2,439809
99,114513;-2,85037
